condition,v_rms,v_rms_std,u_rms,u_rms_std,visible_percent,lost_events,preview_used_ratio,preview_fallback_ratio,relative_improvement_vs_off_percent,relative_improvement_vs_uv_percent,run_id,n_trials
off,0.37386794416999597,0.21609867266637903,0.3541975321140503,0.1990936346122445,13.65079365079365,0.8,0.0,0.0,0.0,-76.92626410657343,exp_gaze_off_neutral_forward_001,5
uv,0.2113128573973577,0.01346143739884261,0.4664998560689521,0.05444489796828335,100.0,0.0,0.0,0.0,43.479279062963805,0.0,exp_baseline_neutral_forward_004,5
uv_ff,0.2228837476260895,0.013400864036815107,0.5028958469027315,0.019069696558647008,100.0,0.0,0.0,0.0,40.38436536170501,-5.475715188959674,exp_gaze_uv_ff_neutral_forward_003,5
pitch-preview,0.13532521336529627,0.0069095735172332255,0.5026596528635537,0.01479094609974172,100.0,0.0,1.0,0.0,63.80400741076519,35.95978255557468,neutral_forward_preview_pos_005,5
gait-phase preview,0.1376193642062127,0.007093823497784247,0.4837684317451021,0.0655417343479417,100.0,0.0,1.0,0.0,63.1903814295355,34.87411703139767,neutral_forward_gait_preview_002,5
