[Aim] acquire | track locked
[Visual] aim step 21/200 | phase=center | uv=(-0.147,-0.215) | target=(+0.400,+0.000) | delta=(-0.147,-0.215) | scale=0.035 | droll=-1.23 | ds1=-1.80 | ds2=+0.90 | req_roll=-1.23 | req_seg=+1.80 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=102x103
[Visual] aim step 22/200 | phase=center | uv=(-0.141,-0.213) | target=(+0.400,+0.000) | delta=(-0.141,-0.213) | scale=0.036 | droll=-1.18 | ds1=-1.78 | ds2=+0.89 | req_roll=-1.18 | req_seg=+1.78 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
[Visual] aim step 23/200 | phase=center | uv=(-0.133,-0.213) | target=(+0.400,+0.000) | delta=(-0.133,-0.213) | scale=0.036 | droll=-1.12 | ds1=-1.78 | ds2=+0.89 | req_roll=-1.12 | req_seg=+1.78 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=105x104
[Visual] aim step 24/200 | phase=center | uv=(-0.128,-0.213) | target=(+0.400,+0.000) | delta=(-0.128,-0.213) | scale=0.036 | droll=-1.08 | ds1=-1.78 | ds2=+0.89 | req_roll=-1.08 | req_seg=+1.78 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
[Visual] aim step 25/200 | phase=center | uv=(-0.119,-0.213) | target=(+0.400,+0.000) | delta=(-0.119,-0.213) | scale=0.036 | droll=-1.00 | ds1=-1.78 | ds2=+0.89 | req_roll=-1.00 | req_seg=+1.78 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
[Visual] aim step 26/200 | phase=center | uv=(-0.116,-0.217) | target=(+0.400,+0.000) | delta=(-0.116,-0.217) | scale=0.036 | droll=-0.97 | ds1=-1.82 | ds2=+0.91 | req_roll=-0.97 | req_seg=+1.82 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
[Visual] aim step 27/200 | phase=center | uv=(-0.111,-0.215) | target=(+0.400,+0.000) | delta=(-0.111,-0.215) | scale=0.037 | droll=-0.93 | ds1=-1.80 | ds2=+0.90 | req_roll=-0.93 | req_seg=+1.80 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=105x105
[Visual] aim step 28/200 | phase=center | uv=(-0.106,-0.217) | target=(+0.400,+0.000) | delta=(-0.106,-0.217) | scale=0.036 | droll=-0.89 | ds1=-1.82 | ds2=+0.91 | req_roll=-0.89 | req_seg=+1.82 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
[Visual] aim step 29/200 | phase=center | uv=(-0.100,-0.217) | target=(+0.400,+0.000) | delta=(-0.100,-0.217) | scale=0.036 | droll=-0.84 | ds1=-1.82 | ds2=+0.91 | req_roll=-0.84 | req_seg=+1.82 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
[Visual] aim step 30/200 | phase=center | uv=(-0.098,-0.217) | target=(+0.400,+0.000) | delta=(-0.098,-0.217) | scale=0.036 | droll=-0.83 | ds1=-1.82 | ds2=+0.91 | req_roll=-0.83 | req_seg=+1.82 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=103x104
[Visual] aim step 31/200 | phase=center | uv=(-0.092,-0.221) | target=(+0.400,+0.000) | delta=(-0.092,-0.221) | scale=0.036 | droll=-0.77 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.77 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=103x104
[Visual] aim step 32/200 | phase=center | uv=(-0.092,-0.221) | target=(+0.400,+0.000) | delta=(-0.092,-0.221) | scale=0.036 | droll=-0.77 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.77 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=103x104
[Visual] aim step 33/200 | phase=center | uv=(-0.088,-0.221) | target=(+0.400,+0.000) | delta=(-0.088,-0.221) | scale=0.036 | droll=-0.74 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.74 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
[Visual] aim step 34/200 | phase=center | uv=(-0.083,-0.223) | target=(+0.400,+0.000) | delta=(-0.083,-0.223) | scale=0.035 | droll=-0.70 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.70 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=103x103
[Visual] aim step 35/200 | phase=center | uv=(-0.083,-0.223) | target=(+0.400,+0.000) | delta=(-0.083,-0.223) | scale=0.035 | droll=-0.70 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.70 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=103x103
[Visual] aim step 36/200 | phase=center | uv=(-0.081,-0.223) | target=(+0.400,+0.000) | delta=(-0.081,-0.223) | scale=0.035 | droll=-0.68 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.68 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=102x103
[Visual] aim step 37/200 | phase=center | uv=(-0.073,-0.221) | target=(+0.400,+0.000) | delta=(-0.073,-0.221) | scale=0.036 | droll=-0.62 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.62 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=103x104
[Visual] aim step 38/200 | phase=center | uv=(-0.072,-0.221) | target=(+0.400,+0.000) | delta=(-0.072,-0.221) | scale=0.036 | droll=-0.60 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.60 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
[Visual] aim step 39/200 | phase=center | uv=(-0.063,-0.221) | target=(+0.400,+0.000) | delta=(-0.063,-0.221) | scale=0.036 | droll=-0.53 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.53 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
[Visual] aim step 40/200 | phase=center | uv=(-0.059,-0.221) | target=(+0.400,+0.000) | delta=(-0.059,-0.221) | scale=0.036 | droll=-0.50 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.50 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
[Visual] aim step 41/200 | phase=center | uv=(-0.059,-0.221) | target=(+0.400,+0.000) | delta=(-0.059,-0.221) | scale=0.036 | droll=-0.50 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.50 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x104
